id,journal,year,issue,paper_name,paper_id
2,远程教育杂志,2019,No.01,技术赋能 万众学习——AECT 2018年会综述,YCJY201901002
3,远程教育杂志,2019,No.01,重塑体验:扩展现实(XR)技术及其教育应用展望——兼论“教育与新技术融合”的走向,YCJY201901003
4,远程教育杂志,2019,No.01,人工智能视域下的学习参与度识别方法研究——基于一项多模态数据融合的深度学习实验分析,YCJY201901004
5,远程教育杂志,2019,No.01,虚拟现实与脑电联动系统的开发及其教育研究功能探索,YCJY201901005
6,远程教育杂志,2019,No.01,美国Tinker教育:源起、内涵、演进与价值意蕴——兼对我国STEM及创客教育的启示,YCJY201901006
7,远程教育杂志,2019,No.01,共享调节:一种新的协作学习研究与实践框架,YCJY201901007
8,远程教育杂志,2019,No.01,基于知识社区与探究(KCI)、共享知识库的课程设计——关联学习的实证研究与应用分析,YCJY201901008
9,远程教育杂志,2019,No.01,精准教学中基于同伴互评的评价者认知网络分析,YCJY201901009
10,远程教育杂志,2019,No.01,“雨课堂”教学模式的“IDCNN+”结构化分析与实证研究,YCJY201901010
11,远程教育杂志,2019,No.01,面向智能时代“4C能力”培养的创客课程设计与开发——基于STEAM理念的实施路径,YCJY201901011
12,远程教育杂志,2019,No.01,第四届教育技术国际会议2019,YCJY201901001
1,开放教育研究,2019,No.02,教案与学案,JFJJ201902001
2,开放教育研究,2019,No.02,STEM智能学习环境与认知科学研究——访美国范德堡大学彼斯沃思教授,JFJJ201902002
3,开放教育研究,2019,No.02,“AI好老师”智能育人助理系统关键技术,JFJJ201902003
4,开放教育研究,2019,No.02,国际儿童编程教育研究现状与行动路径,JFJJ201902004
5,开放教育研究,2019,No.02,培养卓越STEM教师:美国UTeach课程体系及启示,JFJJ201902005
6,开放教育研究,2019,No.02,SPOC学习者认知行为及序列模式的差异性分析,JFJJ201902006
7,开放教育研究,2019,No.02,支持个性化学习的行为大数据可视化研究,JFJJ201902007
8,开放教育研究,2019,No.02,MOOC学习投入度与学习坚持性关系研究,JFJJ201902008
9,开放教育研究,2019,No.02,大学生学习适应性:源于网络学习空间场域的追问,JFJJ201902009
10,开放教育研究,2019,No.02,“互联网+”教师培训NEI模式构建——基于扎根理论的研究,JFJJ201902010
11,开放教育研究,2019,No.02,基于教育设计研究的微认证体系构建——以教师信息技术应用能力为例,JFJJ201902011
12,开放教育研究,2019,No.02,基于学习分析技术的问题解决能力测评研究,JFJJ201902012
13,开放教育研究,2019,No.02,基于LSTM模型的学生反馈文本学业情绪识别方法,JFJJ201902013
14,开放教育研究,2019,No.02,课程与课堂,JFJJ201902014
15,开放教育研究,2019,No.02,走进学校3.0时代,JFJJ201902015
16,开放教育研究,2019,No.01,就会和应该,JFJJ201901001
17,开放教育研究,2019,No.01,如何使用数据:回归基于理解的深度学习和测评——访国际知名学习科学专家戴维·谢弗,JFJJ201901002
18,开放教育研究,2019,No.01,全球竞争力教育指标国际比较及政策建议——基于世界经济论坛《2018年全球竞争力报告》数据,JFJJ201901003
19,开放教育研究,2019,No.01,基于人工智能的育人助理系统——“AI好老师”的体系结构与功能,JFJJ201901004
20,开放教育研究,2019,No.01,21世纪的技能与元学习:学生应该学什么,JFJJ201901005
21,开放教育研究,2019,No.01,面向人工智能创客教育的国际考察和发展策略,JFJJ201901006
22,开放教育研究,2019,No.01,如何通过教学促进大学生主动学习?——美国大学STEM课堂教学评价系统PORTAAL研究及启示,JFJJ201901007
23,开放教育研究,2019,No.01,增强现实技术能促进学习吗?——基于2010-2018年国际英文期刊35项研究的元分析,JFJJ201901008
